cluster_id,log_e_full,log_e_para_multi,log_e_oracle,log_e_stacked_full,log_e_stacked_para,y_astro
9252,164.89726090463446,10.68844879822801,-6.386577695961158,164.20411372407452,9.995301656075048,0
9253,164.89726090463446,-0.8482896974661613,-2.1860103070073618,164.20411372407452,-1.308387988679601,0
9254,164.89726090463446,-1.7064421292322018,-6.2710952207535104,164.20411372407452,-2.389229665581912,0
9255,164.89726090463446,10.688457810669687,-2.1809760407748,164.20411372407452,9.995313205691462,0
9256,164.89726090463446,-1.6270276006767357,-7.074955510162463,164.20411372407452,-2.315878805914322,0
9257,164.89726090463446,10.68845493861732,-5.8417632393498415,164.20411372407452,9.995307824281687,0
9258,164.89726090463446,-1.5261781679181348,-7.161728226980861,164.20411372407452,-2.2157629875372438,0
9259,0.321740854168327,-1.2162783373300536,-4.3153481081836755,-0.36176708104032773,-1.8653214324744707,0
9260,12.912306105580177,13.60545321408185,2.15712729341388,12.219180259426315,12.91231670078261,1
9261,12.912306049895708,13.60545315839738,1.8983108940252649,12.219175338786055,12.91231421259708,1
9262,14.407368803274966,15.10051596767696,-1.4561507855082179,13.714221751706479,14.407368851612746,1
9263,12.912306282415672,13.60545339091736,2.22532680783876,12.219181941999128,12.912317630495147,1
9264,9.995312452757982,10.688458301274586,1.414712366172476,9.302352966882257,9.99540497258542,1
9265,14.407368842927596,15.100516007329588,1.8245819727000439,13.714225092922366,14.407370542048499,1
9266,-1.4316484530003917,-0.9023082803612148,-5.700760149278196,-2.110898439708062,-1.587246747146032,0
9267,14.429902384700984,15.123049549463,1.3154477125150927,13.73675722001913,14.429903376842624,1
9268,-1.693407732038743,-1.2187942614763752,-7.372250158877572,-2.383143226847653,-1.9098175776322956,0
9269,9.995311962153735,10.688457810669687,1.754414922807526,9.302428394485897,9.995442445417838,1
9270,14.429902384700984,15.123049549463,1.9250292937138855,13.73675891267119,14.429904223169878,1
9271,12.912305274347013,13.605452382848627,2.3311813473940566,12.219183484257803,12.912317897605549,1
9272,14.407368803274966,15.10051596767696,2.245629159008458,13.714226849353329,14.407371400439626,1
9273,14.407368803274966,15.10051596767696,2.4076492840918213,13.714227768632064,14.407371860080307,1
9274,-0.8523590741201984,-0.2301559786165721,2.1974174385260095,1.5505520499364618,1.5888418216304498,1
9275,12.912304954532,13.60545206303359,1.898357010828566,12.219174244199918,12.912313117622078,1
9276,12.912305274347013,13.605452382848627,-1.2034146249133155,12.219158834449946,12.912305572620216,1
9277,12.912306105580177,13.60545321408185,-0.8875133020140922,12.219159940834619,12.912306541429263,1
9278,12.912306105580177,13.60545321408185,2.319860193478725,12.219184029645266,12.912318585914107,1
9279,-1.6223015747346543,-1.7842366140261223,-6.448279232118049,-2.307462023828174,-2.4679996929614334,0
9280,12.912306049895708,13.60545315839738,2.1429201552451365,12.219179902788264,12.912316494619743,1
9281,12.912306049895708,13.60545315839738,1.6351939794482826,12.219171528636204,12.912312307508143,1
9282,14.429902384700984,15.123049549463,1.9852110460026346,13.736759142709214,14.429904338189113,1
9283,9.995332116704802,10.688477965247598,2.068034186432892,9.302545630982173,9.995511148609133,1
9284,9.99530985912618,10.68845570763933,1.9434718427553919,9.302481143797404,9.995467772584588,1
9285,14.168979435104562,14.86212659515678,-1.7477752743332005,13.475832376848778,14.16897947574892,0
9286,12.912304981071786,13.60545208957338,-0.8744733261935496,12.219158829660316,12.91230542358784,1
9287,-1.575887347323647,-1.074552140467917,-2.7010841360733573,-1.9879326180262114,-1.5882065628964117,0
9288,9.995308060738813,10.688453909249564,2.123745785394662,9.302542245435202,9.995497429751717,1
9289,9.995303947117328,10.688449795622605,0.9565983525416939,9.30227548392476,9.995361975587144,1
9290,14.407368790788585,15.100515955190575,1.174480579123709,13.714223400955225,14.407369669994338,1
9291,14.407368842927596,15.100516007329588,2.3283142936610406,13.71422733953936,14.407371665359571,1
9292,12.912306008363934,13.605453116865602,1.9166277858301055,12.21917560170133,12.912314323290103,1
9293,14.429902384700984,15.123049549463,2.0305283523838438,13.736759325300165,14.429904429484772,1
9294,12.912306105580177,13.60545321408185,1.6699378192923038,12.21917203187972,12.912312586973595,1
9295,14.429902384700984,15.123049549463,0.49429505788974787,13.73675609097526,14.42990281232027,1
9296,9.99531276729086,10.688458301274586,-1.4395818711610622,9.302176398232335,9.995316526488862,0
9297,12.912306105580177,13.60545321408185,1.5337896481162294,12.219170363560526,12.912311752808819,1
9298,14.407368803274966,15.10051596767696,2.1429201552451365,13.714226339179895,14.40737114535227,1
9299,12.912306105580177,13.60545321408185,1.8840392740599916,12.21917516109507,12.91231415159286,1
9300,12.9123052186625,13.60545232716411,2.3311813473940566,12.219183428574704,12.91231784192174,1
9301,12.9123052186625,13.60545232716411,2.216952693137512,12.219180687804837,12.91231647152025,1
9302,12.912306049895708,13.60545315839738,2.226648830080596,12.219181739699282,12.9123174130854,1
9303,9.995311962153735,10.688457810669687,0.5825357583655593,9.302246452147617,9.99535146627481,1
9304,12.912306049895708,13.60545315839738,2.3367946071118912,12.219184402708938,12.912318744606436,1
9305,-0.6815421765524569,-0.0478606122151485,1.820877594211915,1.2064367936367102,1.2712403295084989,1
9306,14.407368794603936,15.100515955190575,-1.269190174740382,13.714221769553486,14.407368852385382,1
9307,12.912304981071786,13.60545208957338,1.940523120504463,12.219174980068448,12.91231349882925,1
9308,9.99530182038158,10.688447354347282,-2.533545980559472,9.302158260498352,9.995301984130315,0
9309,-1.6611011625277774,-1.1787528748316956,-0.33004918556549395,-0.78875750084937,-0.6669429633720552,0
9310,12.912306049895708,13.60545315839738,2.412353582868587,12.219186406714876,12.91231974662277,1
9311,12.912304954532,13.60545206303359,2.357465187092949,12.219183840649103,12.912317915898042,1
9312,12.912306282415672,13.60545339091736,2.077636399858066,12.219178806036265,12.912316062496926,1
9313,12.912304925560058,13.605452034061647,-1.3126728975323518,12.219158409003786,12.912305185503618,1
9314,12.912306105580177,13.60545321408185,2.329567354049528,12.219184274523418,12.912318708354736,1
9315,14.407368842927596,15.100516007329588,2.3107140422114605,13.714227240494155,14.40737161583683,1
9316,12.9123052186625,13.60545232716411,1.8073464939783044,12.21917307556095,12.91231266536217,1
9317,12.912305177130692,13.6054522856323,2.0958437233961735,12.219178062816168,12.91231513824612,1
9318,12.912305274347013,13.605452382848627,2.1801760999981763,12.219179925649183,12.912316118280105,1
9319,9.995312452757982,10.688458301274586,0.47520540129889627,9.302238631317632,9.995347800995992,1
9320,12.9123052186625,13.60545232716411,1.8712909294817384,12.21917406852394,12.912313161847557,1
