cluster_id,n,log_e_para_multi,log_e_verb,log_e_full
43,53,-1.7906917683571075,-1.050271143475403,-1.353464041412853
44,53,-1.7922168637428808,-1.050271143475403,-1.3539562590524445
45,53,-1.8000715774133806,-1.050271143475403,-1.3564832885377167
46,53,-1.8058998129591823,-1.050271143475403,-1.3583496656438006
47,53,-1.7798952839588194,-1.050271143475403,-1.349964966208554
48,53,-1.8035948524195748,-1.050271143475403,-1.3576124314781781
49,53,-1.7738258045145723,-1.050271143475403,-1.3479866574812909
50,53,-1.793688766232203,165.5904080851944,164.89726090463446
51,53,-1.7983669047768225,-1.050271143475403,-1.3559360024370193
52,53,-1.8000715774133806,165.5904080851944,164.89726090463446
53,53,-1.7812414634708138,165.5904080851944,164.89726090463446
54,53,-1.7941102651185448,-1.8243481900072056,-1.8091149404040965
55,53,-1.7781701514313668,-1.050271143475403,-1.3494034932597416
56,53,-1.7856410688847193,-1.050271143475403,-1.3518303187130885
57,53,-1.7983669047768225,-1.050271143475403,-1.3559360024370193
58,53,-1.783068685483308,-1.050271143475403,-1.3509960967261219
59,53,-1.7874688292435876,-2.8109002856092595,-2.173602233476024
60,53,-1.794036952024182,0.20966268903331908,-0.3569967706410395
61,53,-1.7938874338207198,-1.050271143475403,-1.3544948447029799
62,53,-1.7873097139910774,-1.050271143475403,-1.3523706839608995
63,53,-1.7904868053520226,-1.050271143475403,-1.3533978517711738
64,52,-1.814093127584627,165.5904080851944,164.89726090463446
65,52,-1.8001726338969983,-2.6876484491040435,-2.148529672647348
66,52,-1.7800119084785542,-1.1050931233678563,-1.3866620701925298
67,52,-1.7887676495625526,165.5904080851944,164.89726090463446
68,52,-1.7945409377013006,-2.6876484491040435,-2.1445370802551946
69,52,-1.7878545831811072,-1.1050931233678563,-1.3893012903105266
70,52,-1.7899358873983142,-1.8710545741214077,-1.8296729260126443
71,52,-1.790732765466939,-1.1050931233678563,-1.3902664152147093
72,52,-1.7945409377013006,-1.1050931233678563,-1.391540552529638
73,52,-1.7435285269510206,165.5904080851944,164.89726090463446
74,52,-1.797429171709925,165.5904080851944,164.89726090463446
75,52,-1.7746725184082837,-1.8710545741214077,-1.821702807855961
76,52,-1.7793331488793078,-1.1050931233678563,-1.3864330076997864
77,52,-1.7772560074475852,-1.1050931233678563,-1.3857313901075252
78,52,-1.8001726338969983,-1.1050931233678563,-1.3934188910208092
79,52,-1.7779811580075635,-1.1050931233678563,-1.3859764413824602
80,52,-1.7793331488793078,-1.1050931233678563,-1.3864330076997864
81,52,-1.7972764767272813,-1.1050931233678563,-1.3924538168569822
82,52,-1.8062461559425276,-1.1050931233678563,-1.3954366979868955
83,52,-1.7787253982713143,165.5904080851944,164.89726090463446
84,52,-1.8097293774013543,165.5904080851944,164.89726090463446
85,52,-1.7363339018203576,-1.1050931233678563,-1.3717110231832685
86,52,-1.7972764767272813,-1.1050931233678563,-1.3924538168569822
