scenario,pi0,alpha,rep,k_hat,fdr,tdp
S1_correct,0.5,0.2,76,1990,0.010050251256281407,0.7808164883075703
S1_correct,0.5,0.05,77,1445,0.002768166089965398,0.5741035856573705
S1_correct,0.5,0.1,77,1732,0.005196304849884526,0.6864541832669323
S1_correct,0.5,0.15,77,1877,0.008524240809802876,0.7414342629482071
S1_correct,0.5,0.2,77,1980,0.013131313131313131,0.7784860557768924
S1_correct,0.5,0.05,78,1477,0.004062288422477996,0.5933844292053247
S1_correct,0.5,0.1,78,1741,0.006318207926479035,0.6978620411456232
S1_correct,0.5,0.15,78,1887,0.009538950715421303,0.7539330375151271
S1_correct,0.5,0.2,78,1982,0.013118062563067608,0.7890278338039532
S1_correct,0.5,0.05,79,1401,0.0014275517487508922,0.5613964686998395
S1_correct,0.5,0.1,79,1685,0.006528189910979229,0.6717495987158909
S1_correct,0.5,0.15,79,1861,0.010209564750134336,0.7391653290529695
S1_correct,0.5,0.2,79,1966,0.012207527975584944,0.7792937399678973
S1_correct,0.5,0.05,80,1454,0.0041265474552957355,0.5796637309847879
S1_correct,0.5,0.1,80,1733,0.008078476630121177,0.6881505204163331
S1_correct,0.5,0.15,80,1873,0.011211959423384944,0.7413931144915933
S1_correct,0.5,0.2,80,1980,0.014646464646464647,0.7810248198558847
S1_correct,0.5,0.05,81,1568,0.00510204081632653,0.612725844461901
S1_correct,0.5,0.1,81,1822,0.00823271130625686,0.7097407698350353
S1_correct,0.5,0.15,81,1959,0.009188361408882083,0.7623723487824038
S1_correct,0.5,0.2,81,2070,0.011111111111111112,0.8040062843676355
S1_correct,0.5,0.05,82,1389,0.003599712023038157,0.5658217497955846
S1_correct,0.5,0.1,82,1658,0.0066344993968636915,0.6733442354865086
S1_correct,0.5,0.15,82,1820,0.00934065934065934,0.7371218315617334
S1_correct,0.5,0.2,82,1907,0.01048767697954903,0.7714636140637776
S1_correct,0.5,0.05,83,1357,0.0036845983787767134,0.5331230283911672
S1_correct,0.5,0.1,83,1696,0.0076650943396226415,0.6636435331230284
S1_correct,0.5,0.15,83,1879,0.009579563597658328,0.7338328075709779
S1_correct,0.5,0.2,83,1971,0.011669203450025367,0.7681388012618297
S1_correct,0.5,0.05,84,1346,0.0014858841010401188,0.5312252964426878
S1_correct,0.5,0.1,84,1676,0.0059665871121718375,0.658498023715415
S1_correct,0.5,0.15,84,1851,0.008103727714748784,0.7256916996047431
S1_correct,0.5,0.2,84,1972,0.011663286004056795,0.7703557312252964
S1_correct,0.5,0.05,85,1477,0.004062288422477996,0.6004081632653061
S1_correct,0.5,0.1,85,1718,0.006984866123399301,0.6963265306122449
S1_correct,0.5,0.15,85,1854,0.011326860841423949,0.7481632653061224
S1_correct,0.5,0.2,85,1935,0.013436692506459949,0.7791836734693878
S1_correct,0.5,0.05,86,1562,0.002560819462227913,0.6165413533834586
S1_correct,0.5,0.1,86,1825,0.0032876712328767125,0.7198258804907004
S1_correct,0.5,0.15,86,1941,0.009788768675940238,0.7605856747130986
S1_correct,0.5,0.2,86,2008,0.01045816733067729,0.7863078749505342
S1_correct,0.5,0.05,87,1429,0.0027991602519244225,0.5654761904761905
S1_correct,0.5,0.1,87,1739,0.0040253018976423235,0.6873015873015873
S1_correct,0.5,0.15,87,1887,0.00688924218335983,0.7436507936507937
S1_correct,0.5,0.2,87,2019,0.012382367508667657,0.7912698412698412
S1_correct,0.5,0.05,88,1427,0.004905395935529082,0.5546875
S1_correct,0.5,0.1,88,1711,0.0070134424313267095,0.663671875
S1_correct,0.5,0.15,88,1886,0.009013785790031814,0.730078125
S1_correct,0.5,0.2,88,1978,0.011627906976744186,0.763671875
S1_correct,0.5,0.05,89,1486,0.005383580080753701,0.5930979133226324
S1_correct,0.5,0.1,89,1770,0.00847457627118644,0.7042536115569823
S1_correct,0.5,0.15,89,1907,0.01048767697954903,0.757223113964687
S1_correct,0.5,0.2,89,1987,0.012581781580271767,0.7873194221508828
S1_correct,0.5,0.05,90,1562,0.006402048655569782,0.6153846153846154
S1_correct,0.5,0.1,90,1854,0.008629989212513484,0.7287866772402855
S1_correct,0.5,0.15,90,1992,0.01104417670682731,0.7811260904044409
S1_correct,0.5,0.2,90,2076,0.01300578034682081,0.8124504361617764
S1_correct,0.5,0.05,91,1500,0.0013333333333333333,0.5874509803921568
S1_correct,0.5,0.1,91,1810,0.004419889502762431,0.7066666666666667
S1_correct,0.5,0.15,91,1956,0.0066462167689161555,0.7619607843137255
S1_correct,0.5,0.2,91,2019,0.008420009905894007,0.7850980392156863
S1_correct,0.5,0.05,92,1444,0.0013850415512465374,0.5880913539967374
S1_correct,0.5,0.1,92,1717,0.005824111822947,0.6961663947797716
S1_correct,0.5,0.15,92,1860,0.007526881720430108,0.7528548123980424
S1_correct,0.5,0.2,92,1970,0.012690355329949238,0.7932300163132137
S1_correct,0.5,0.05,93,1419,0.0014094432699083862,0.5722940226171244
S1_correct,0.5,0.1,93,1679,0.005360333531864205,0.6744749596122779
S1_correct,0.5,0.15,93,1868,0.007494646680942184,0.7487883683360258
