cluster_id,n,tau,f_anchor,log_e_para_multi,log_e_verb,log_e_full,log_e_para_g0.95,log_e_para_g0.96,log_e_para_g0.97,log_e_para_g0.98
13328,8,0.25,0.999999,33.09518534925316,-1.6726299116302834,32.40203816869321,1.2499149317337959,34.481429148899075,24.589126403783606,12.771074919490896
13329,8,0.25,0.999999,24.40173408073795,-1.7193113774874862,23.70858690018253,2.5215891132861064,3.441237046574064,25.78802402353756,13.458212843359657
13330,8,0.25,0.999999,32.37565968910571,-1.6526464491869355,31.682512508545766,1.1818181868499,33.76190715179596,23.79439341770042,12.360000346963687
13331,8,0.25,0.875,12.391936131380746,-1.6985465016538401,11.698789710413847,2.504184542225728,3.4856049661518576,1.655531897269474,13.778178476112613
13332,8,0.25,0.999999,22.408109878309986,-1.6526464491869355,21.71496269778557,4.395130909886041,3.115738454841847,23.79439341770042,12.360000346963687
13333,8,0.25,0.999999,24.40173408073795,-1.7193113774874862,23.70858690018253,2.5215891132861064,3.441237046574064,25.78802402353756,13.458212843359657
13334,8,0.25,0.999999,24.7049752391061,-1.7399434871842778,24.011828058549433,2.56385591986876,1.557553372251975,26.091265929612682,13.576093439648092
13335,8,0.25,0.999999,23.20283941352785,-1.6726299116302834,22.50969223298364,1.2499149317337959,3.199002948706072,24.589126403783606,12.771074919490896
13336,8,0.25,0.999999,25.303160750901178,-1.6985465016538401,24.61001357034311,2.504184542225728,3.4856049661518576,26.689452641864,13.778178476112613
13337,8,0.25,0.999999,25.303160751140602,-1.6985465016538401,24.610013570582534,4.659787594689282,3.4856049661518576,26.689452641864,13.778178476112613
13338,8,0.25,0.999999,33.09518534925327,-1.6726299116302834,32.40203816869332,4.650199000549139,34.481429148899075,24.589126403783606,12.771074919490896
13339,8,0.25,0.999999,25.303160751140602,-1.6985465016538401,24.610013570582534,4.659787594689282,3.4856049661518576,26.689452641864,13.778178476112613
13340,8,0.25,0.999999,32.375659689105724,-1.6526464491869355,31.68251250854578,2.3603402497781545,33.76190715179596,23.79439341770042,12.360000346963687
13341,8,0.25,0.999999,22.408109874702763,-1.6526464491869355,21.714962694178347,1.1818181868499,3.115738454841847,23.79439341770042,12.360000346963687
13342,8,0.25,0.999999,24.40173408051447,-1.7193113774874862,23.70858689995905,1.280994812973708,1.5447777057271233,25.78802402353756,13.458212843359657
